UserID,Date,TransactionType,Amount
362,2023-03-21,Investment,715.93
39,2025-03-17,Salary,112.02
187,2025-01-12,Investment,945.23
86,2024-07-28,Investment,606.68
137,2023-12-11,Loan Payment,124.88
764,2023-06-04,Groceries,681.35
567,2024-04-19,Shopping,246.59
349,2023-04-22,Shopping,254.57
876,2025-01-16,Loan Payment,497.84
601,2023-11-16,Loan Payment,684.51
327,2024-07-06,Salary,280.68
606,2024-06-15,Shopping,572.58
611,2025-01-05,Salary,11.41
17,2023-04-05,Groceries,373.24
685,2023-11-19,Investment,873.41
82,2025-02-27,Investment,74.85
961,2023-07-03,Groceries,646.15
901,2023-05-21,Groceries,697.26
193,2023-04-13,Salary,632.43
937,2024-05-24,Loan Payment,240.51
580,2023-09-26,Loan Payment,647.54
661,2024-08-15,Shopping,1010.62
588,2024-06-20,Groceries,445.47
199,2024-11-25,Groceries,552.0
552,2024-03-17,Loan Payment,923.32
874,2023-09-21,Investment,378.38
399,2023-11-04,Groceries,622.71
553,2023-03-23,Shopping,102.35
112,2023-05-07,Investment,85.67
890,2024-03-04,Shopping,915.54
421,2023-12-13,Salary,879.69
40,2023-06-10,Loan Payment,389.36
164,2023-10-16,Groceries,304.11
4,2024-01-17,Shopping,864.01
290,2023-03-31,Salary,318.65
628,2023-12-26,Loan Payment,485.36
581,2023-04-16,Loan Payment,707.07
357,2023-08-20,Salary,267.51
650,2024-03-23,Loan Payment,191.02
691,2024-05-06,Investment,275.29
988,2023-08-22,Investment,703.81
751,2024-09-15,Salary,155.36
965,2024-02-08,Loan Payment,17.74
702,2023-03-21,Loan Payment,296.73
537,2024-03-01,Shopping,315.02
496,2024-02-12,Shopping,387.15
47,2024-11-17,Investment,937.92
753,2024-08-09,Shopping,16.03
799,2024-07-22,Groceries,250.87
767,2023-06-07,Salary,656.75
977,2025-01-05,Shopping,402.57
785,2024-11-16,Investment,1190.12
560,2024-08-04,Investment,222.65
869,2024-11-22,Salary,599.05
833,2023-05-30,Salary,138.27
783,2024-11-21,Shopping,445.7
198,2023-09-10,Salary,374.67
418,2024-03-03,Shopping,782.67
681,2025-01-24,Loan Payment,389.53
340,2024-04-18,Investment,362.08
245,2024-10-14,Shopping,593.51
880,2024-03-26,Loan Payment,365.37
183,2024-12-27,Salary,445.13
100,2025-01-24,Investment,89.53
914,2024-07-17,Salary,481.91
900,2023-03-24,Shopping,636.44
925,2024-07-30,Shopping,591.92
168,2023-09-23,Shopping,1052.74
193,2023-07-13,Loan Payment,709.65
525,2023-11-23,Shopping,626.29
659,2024-07-13,Investment,626.16
89,2024-12-11,Investment,409.11
95,2023-04-27,Investment,53.25
22,2024-07-28,Shopping,804.48
313,2024-12-23,Loan Payment,438.46
375,2024-11-22,Shopping,358.88
626,2023-09-28,Shopping,96.35
840,2023-05-28,Investment,704.62
993,2023-08-17,Salary,483.62
901,2024-12-15,Shopping,428.03
140,2024-04-22,Salary,466.33
924,2023-07-16,Loan Payment,710.89
118,2024-12-18,Shopping,297.91
489,2024-05-29,Shopping,429.99
726,2023-07-03,Loan Payment,549.42
84,2024-01-26,Shopping,487.84
128,2023-09-30,Loan Payment,411.72
338,2024-06-28,Groceries,341.59
361,2024-10-29,Salary,491.81
202,2023-06-17,Salary,419.82
322,2024-01-14,Groceries,430.88
965,2024-02-17,Groceries,222.73
474,2024-11-08,Investment,53.86
204,2024-09-30,Shopping,221.15
387,2024-04-28,Groceries,1011.69
514,2023-05-06,Investment,535.77
792,2024-06-07,Groceries,254.78
439,2023-05-07,Shopping,630.7
669,2024-09-02,Investment,336.0
108,2023-05-25,Shopping,418.5
596,2023-06-02,Shopping,110.13
802,2024-02-26,Shopping,748.92
134,2024-08-28,Shopping,856.97
560,2023-05-07,Salary,804.1
443,2025-02-28,Investment,1146.6
315,2023-05-23,Shopping,206.73
560,2023-12-02,Loan Payment,617.21
610,2024-06-27,Salary,102.06
284,2024-02-16,Salary,513.13
817,2023-11-21,Salary,423.25
164,2025-03-01,Shopping,467.07
237,2023-04-30,Groceries,649.25
928,2023-09-03,Salary,1009.89
690,2024-05-09,Shopping,495.89
756,2023-11-28,Shopping,578.27
379,2023-09-24,Salary,589.14
923,2023-07-08,Groceries,1089.6
946,2024-10-14,Investment,661.93
493,2023-06-05,Salary,208.07
830,2023-11-09,Groceries,63.23
161,2024-04-27,Shopping,15.63
503,2025-01-27,Groceries,882.5
338,2023-10-13,Shopping,48.24
504,2024-06-27,Shopping,483.56
970,2024-03-07,Salary,793.27
721,2024-11-14,Salary,274.15
509,2023-12-04,Shopping,15.34
796,2024-12-02,Salary,585.46
694,2024-09-13,Loan Payment,832.09
853,2024-11-09,Groceries,692.36
445,2024-08-10,Groceries,749.21
680,2025-01-22,Investment,194.8
626,2024-11-11,Investment,614.86
530,2023-11-30,Groceries,356.17
63,2024-10-21,Shopping,112.55
214,2024-11-14,Loan Payment,628.13
875,2023-10-21,Investment,295.71
3,2024-11-06,Groceries,229.47
121,2024-02-28,Salary,946.32
860,2024-06-14,Loan Payment,525.58
242,2023-05-03,Shopping,671.18
803,2024-06-16,Investment,790.46
69,2025-01-07,Salary,174.45
312,2024-12-11,Groceries,252.38
535,2025-02-28,Salary,94.68
52,2024-01-28,Salary,103.26
749,2023-09-20,Loan Payment,156.34
362,2023-08-14,Groceries,90.99
807,2024-05-19,Salary,691.37
6,2024-05-31,Shopping,413.98
109,2025-03-10,Shopping,592.48
261,2023-07-27,Groceries,146.98
87,2025-03-17,Salary,347.04
414,2023-12-09,Salary,122.22
895,2023-07-29,Salary,642.09
653,2023-07-02,Investment,222.09
495,2024-07-02,Loan Payment,792.75
18,2023-06-12,Salary,775.54
414,2024-11-13,Salary,971.67
499,2023-03-29,Groceries,325.87
650,2024-03-04,Investment,208.12
234,2023-07-30,Investment,562.83
11,2024-11-11,Shopping,859.65
664,2024-11-02,Shopping,263.02
509,2023-04-13,Salary,24.21
19,2024-04-25,Shopping,63.98
330,2023-05-09,Groceries,500.13
499,2024-09-14,Loan Payment,110.85
758,2024-02-21,Salary,664.66
205,2024-01-16,Salary,1165.76
245,2023-05-20,Loan Payment,231.4
282,2023-08-07,Salary,377.57
71,2025-01-08,Loan Payment,757.54
7,2023-08-07,Groceries,429.61
817,2025-01-17,Loan Payment,661.19
171,2025-01-12,Salary,900.31
251,2024-04-24,Loan Payment,781.22
416,2024-09-12,Groceries,432.99
380,2024-03-18,Salary,774.63
824,2023-06-02,Salary,822.01
93,2024-01-10,Salary,419.93
364,2023-12-23,Shopping,601.02
630,2023-10-19,Salary,813.26
659,2025-01-20,Groceries,1436.57
937,2024-03-30,Loan Payment,402.23
942,2024-01-11,Salary,496.85
232,2023-12-23,Groceries,487.15
736,2023-12-26,Investment,517.41
751,2024-07-08,Salary,699.1
116,2023-05-29,Salary,639.1
49,2023-09-17,Loan Payment,735.96
335,2024-06-09,Investment,374.1
960,2023-11-23,Loan Payment,62.97
851,2024-07-02,Shopping,685.91
694,2024-08-12,Shopping,234.47
572,2024-06-07,Investment,937.12
843,2023-06-22,Groceries,674.43
414,2025-01-05,Shopping,439.03
898,2024-12-25,Salary,933.86
482,2024-11-22,Loan Payment,83.33
504,2023-03-29,Salary,1.86
314,2024-08-27,Loan Payment,1045.89
368,2024-02-07,Loan Payment,901.51
500,2024-08-28,Salary,161.1
355,2025-01-09,Loan Payment,700.59
571,2023-06-17,Investment,224.6
265,2024-11-22,Investment,170.23
400,2024-01-03,Shopping,394.45
789,2023-06-13,Groceries,557.19
470,2023-10-07,Groceries,782.39
844,2024-11-28,Groceries,992.16
528,2024-01-12,Shopping,303.33
825,2023-04-01,Loan Payment,388.85
716,2024-06-24,Groceries,78.33
300,2024-08-29,Shopping,227.67
858,2023-08-19,Groceries,955.79
318,2023-07-12,Salary,777.98
239,2025-03-11,Shopping,170.43
678,2023-05-31,Shopping,73.4
685,2024-06-23,Investment,831.52
917,2023-10-13,Groceries,769.48
903,2024-04-27,Groceries,114.1
999,2024-10-19,Loan Payment,665.69
791,2024-05-13,Investment,687.69
869,2023-12-07,Investment,197.43
769,2023-12-04,Loan Payment,88.79
575,2024-08-13,Loan Payment,400.21
517,2023-06-07,Investment,647.46
120,2025-01-27,Groceries,393.35
366,2025-01-17,Shopping,926.16
504,2023-05-18,Loan Payment,1069.02
914,2023-10-19,Groceries,283.07
264,2025-01-22,Shopping,677.6
550,2024-12-12,Shopping,768.5
276,2023-08-12,Investment,848.42
480,2024-05-21,Loan Payment,256.62
458,2024-10-28,Shopping,470.8
881,2023-06-05,Shopping,348.86
459,2023-09-21,Shopping,411.22
926,2023-09-29,Investment,829.81
304,2024-10-23,Loan Payment,686.62
992,2024-11-29,Investment,898.68
928,2023-10-28,Shopping,25.41
339,2024-05-09,Salary,41.73
68,2025-01-23,Loan Payment,903.82
450,2023-05-05,Groceries,739.73
573,2024-10-21,Shopping,995.46
855,2023-12-22,Shopping,1062.18
622,2025-02-02,Groceries,610.29
315,2023-10-30,Loan Payment,130.01
563,2023-04-09,Loan Payment,687.65
921,2023-12-18,Shopping,765.57
288,2023-03-23,Shopping,368.72
694,2024-01-09,Groceries,817.62
888,2023-03-28,Shopping,500.41
425,2024-06-14,Shopping,116.97
511,2023-09-14,Salary,106.5
851,2025-01-01,Salary,760.29
64,2024-12-12,Investment,99.2
406,2024-08-08,Groceries,383.25
943,2024-04-24,Salary,399.46
404,2024-08-09,Groceries,602.7
112,2023-09-18,Salary,966.25
780,2024-02-07,Investment,756.19
222,2024-07-24,Shopping,631.6
13,2024-03-15,Loan Payment,540.34
834,2024-06-12,Loan Payment,633.39
438,2024-01-02,Groceries,812.27
587,2024-12-30,Investment,360.26
8,2024-12-12,Loan Payment,454.75
296,2024-06-01,Groceries,558.51
628,2024-04-01,Shopping,272.52
519,2024-03-22,Loan Payment,863.85
256,2024-01-20,Salary,348.97
931,2024-12-21,Shopping,586.6
264,2023-07-05,Loan Payment,522.43
734,2024-10-28,Investment,253.96
268,2024-07-10,Salary,80.73
785,2024-05-18,Groceries,300.11
364,2023-09-10,Groceries,446.69
802,2024-04-14,Shopping,18.97
906,2024-01-01,Investment,430.73
783,2024-10-05,Loan Payment,600.1
808,2023-10-25,Investment,506.16
56,2025-01-14,Shopping,139.04
862,2025-02-16,Investment,187.39
650,2024-12-24,Investment,910.78
992,2024-11-05,Investment,158.43
101,2023-08-24,Groceries,386.18
960,2025-01-10,Groceries,599.62
31,2024-12-10,Shopping,905.61
453,2024-11-10,Groceries,584.66
424,2023-09-06,Shopping,451.78
735,2023-08-19,Groceries,810.75
825,2024-09-19,Groceries,240.81
790,2023-07-01,Loan Payment,84.96
89,2023-04-11,Groceries,838.84
399,2023-08-26,Groceries,704.51
271,2024-02-07,Loan Payment,144.69
82,2024-08-05,Loan Payment,350.18
720,2024-12-29,Salary,497.43
211,2023-09-25,Investment,59.32
327,2023-05-27,Salary,418.06
439,2024-03-05,Investment,816.33
187,2025-01-27,Salary,777.62
877,2023-12-03,Salary,509.53
229,2023-05-12,Shopping,528.29
270,2024-01-10,Investment,1018.24
551,2023-10-08,Salary,236.52
191,2023-11-02,Investment,788.59
53,2024-03-13,Shopping,317.64
738,2023-07-20,Loan Payment,338.26
422,2023-12-11,Salary,292.1
906,2024-06-08,Shopping,740.22
768,2024-10-31,Shopping,871.47
349,2024-10-11,Loan Payment,236.9
702,2024-03-29,Investment,169.31
766,2023-12-04,Loan Payment,704.41
762,2024-01-31,Investment,248.42
525,2025-02-01,Loan Payment,234.0
639,2024-09-22,Groceries,660.45
717,2024-11-09,Salary,868.69
950,2024-03-20,Investment,126.11
273,2023-08-19,Groceries,324.61
328,2024-02-15,Groceries,710.38
111,2024-07-03,Shopping,554.48
781,2024-09-21,Loan Payment,977.31
272,2025-01-04,Groceries,438.27
758,2023-05-14,Groceries,1066.2
13,2025-03-12,Groceries,535.85
733,2023-10-29,Groceries,320.19
936,2024-07-09,Shopping,167.0
628,2023-08-01,Salary,960.31
565,2023-07-26,Investment,446.71
926,2023-08-25,Salary,266.78
800,2023-04-19,Investment,708.0
481,2024-02-05,Loan Payment,574.75
72,2024-12-29,Shopping,231.95
190,2023-06-06,Investment,866.37
702,2024-08-04,Shopping,353.85
139,2024-05-26,Shopping,153.04
506,2024-07-27,Loan Payment,681.77
725,2024-04-20,Loan Payment,69.66
493,2023-06-26,Shopping,182.8
822,2023-09-11,Salary,315.43
856,2023-08-25,Salary,7.62
149,2024-02-02,Shopping,862.54
6,2024-07-07,Shopping,1010.85
184,2023-06-18,Investment,599.4
218,2025-02-20,Salary,660.02
299,2024-10-15,Investment,797.38
247,2023-10-14,Investment,811.51
494,2024-04-06,Shopping,173.5
872,2024-12-30,Shopping,116.19
796,2024-04-27,Salary,598.63
472,2024-10-06,Groceries,508.34
900,2025-03-03,Investment,350.82
184,2024-10-25,Investment,307.73
287,2023-04-21,Loan Payment,525.56
250,2024-11-22,Groceries,397.34
73,2023-05-17,Groceries,105.92
211,2024-07-29,Shopping,756.14
152,2024-10-02,Loan Payment,441.3
105,2023-10-08,Loan Payment,943.62
556,2023-04-18,Groceries,718.12
434,2023-07-14,Investment,632.98
140,2023-12-01,Investment,840.69
129,2023-07-11,Salary,168.11
578,2024-12-05,Shopping,249.17
433,2023-05-09,Investment,65.44
726,2024-10-21,Loan Payment,568.79
294,2024-11-14,Loan Payment,1013.8
143,2023-06-21,Groceries,734.1
302,2023-09-29,Salary,12.56
789,2024-03-18,Salary,19.2
875,2023-08-18,Investment,135.32
303,2024-03-30,Investment,226.28
739,2023-05-20,Shopping,556.54
552,2024-04-18,Groceries,699.41
712,2024-10-25,Shopping,527.29
573,2024-07-18,Loan Payment,280.54
870,2024-11-03,Loan Payment,425.49
197,2024-04-10,Salary,557.21
360,2024-12-30,Investment,579.86
819,2024-01-22,Shopping,214.42
602,2025-01-23,Loan Payment,523.24
891,2023-04-20,Loan Payment,362.1
606,2024-02-22,Salary,42.28
615,2023-10-13,Groceries,72.34
247,2024-06-21,Investment,241.88
857,2024-02-23,Investment,48.54
613,2025-01-01,Salary,537.8
833,2024-03-13,Salary,59.66
405,2025-01-24,Salary,808.6
22,2024-05-24,Shopping,113.85
687,2024-05-17,Salary,80.86
529,2023-09-17,Groceries,584.84
496,2023-08-07,Loan Payment,412.79
774,2023-04-26,Shopping,333.33
445,2024-03-02,Loan Payment,109.6
795,2024-08-24,Loan Payment,60.92
675,2023-08-09,Investment,383.44
6,2024-10-29,Loan Payment,557.13
217,2025-02-12,Groceries,634.77
26,2024-07-22,Loan Payment,171.93
571,2024-07-23,Groceries,253.26
146,2023-12-15,Investment,1017.04
13,2024-02-02,Investment,649.73
887,2024-01-29,Shopping,809.56
916,2023-04-05,Investment,903.74
675,2023-09-05,Groceries,620.99
317,2024-09-30,Loan Payment,628.29
145,2023-06-22,Shopping,480.78
164,2024-06-11,Loan Payment,658.97
966,2024-10-09,Groceries,28.41
463,2023-08-27,Investment,589.97
808,2023-08-20,Shopping,368.52
864,2024-06-27,Loan Payment,338.55
194,2024-03-13,Shopping,504.27
171,2023-09-05,Salary,27.09
487,2023-10-20,Loan Payment,176.84
125,2024-08-30,Salary,301.04
976,2024-12-29,Shopping,418.45
882,2023-06-01,Loan Payment,320.05
885,2024-01-13,Loan Payment,150.13
382,2023-12-23,Loan Payment,134.75
663,2024-12-04,Loan Payment,380.98
93,2024-06-25,Groceries,420.27
146,2024-04-22,Groceries,85.33
212,2024-12-21,Shopping,543.08
447,2024-04-23,Shopping,661.44
96,2023-04-27,Investment,749.15
959,2023-06-03,Investment,283.29
416,2024-04-19,Shopping,300.54
534,2023-03-29,Salary,904.0
779,2024-03-10,Loan Payment,357.7
763,2023-07-16,Groceries,522.03
599,2023-06-08,Salary,399.09
530,2023-12-14,Salary,210.96
714,2024-05-01,Shopping,312.82
125,2025-02-20,Loan Payment,635.18
30,2023-06-14,Salary,60.94
924,2024-05-09,Groceries,409.74
25,2024-11-19,Groceries,137.16
718,2024-11-04,Groceries,441.72
375,2024-01-30,Salary,273.26
25,2024-04-23,Shopping,160.2
99,2024-07-02,Shopping,603.31
523,2024-04-20,Loan Payment,387.9
576,2024-12-31,Groceries,347.82
844,2025-01-13,Salary,321.83
331,2023-05-25,Salary,468.13
755,2024-07-23,Groceries,630.17
656,2023-09-28,Salary,701.57
364,2025-01-03,Shopping,473.23
76,2025-03-14,Investment,488.73
333,2024-05-05,Investment,512.4
827,2024-09-27,Shopping,632.9
283,2024-07-02,Investment,863.07
17,2024-09-05,Loan Payment,419.3
465,2024-01-21,Investment,466.8
861,2024-05-02,Investment,231.01
613,2024-07-26,Groceries,752.45
381,2024-12-26,Loan Payment,610.89
797,2024-06-29,Shopping,1081.24
436,2023-06-28,Shopping,453.19
461,2024-12-31,Groceries,299.3
311,2024-07-05,Investment,212.75
285,2024-02-19,Investment,249.2
898,2023-09-17,Groceries,882.32
965,2023-12-11,Investment,32.8
34,2023-09-09,Loan Payment,778.22
427,2024-12-23,Loan Payment,111.85
367,2023-08-22,Investment,129.76
841,2024-01-16,Shopping,59.96
239,2023-03-27,Salary,349.58
148,2024-09-06,Salary,213.79
517,2023-07-15,Investment,533.08
855,2023-11-06,Shopping,920.43
989,2023-12-01,Investment,157.5
802,2023-12-07,Loan Payment,681.57
441,2023-12-03,Loan Payment,834.63
189,2023-11-24,Shopping,5.41
194,2024-04-04,Investment,119.41
984,2023-10-28,Salary,1167.81
423,2023-06-05,Loan Payment,503.28
927,2024-03-15,Shopping,302.51
341,2025-01-12,Investment,382.27
327,2023-09-09,Groceries,0.79
721,2024-01-15,Salary,547.96
971,2023-04-25,Investment,665.77
181,2025-03-09,Groceries,167.58
711,2024-12-18,Groceries,585.08
531,2024-04-15,Groceries,1249.05
971,2024-07-22,Groceries,770.12
12,2024-04-10,Shopping,635.37
490,2024-03-09,Shopping,1000.17
656,2024-12-03,Groceries,956.97
316,2024-08-20,Investment,775.39
381,2024-05-27,Groceries,270.24
444,2024-08-26,Groceries,685.59
361,2024-10-14,Groceries,105.12
303,2024-08-20,Loan Payment,150.56
185,2023-10-22,Investment,682.73
754,2024-06-11,Shopping,610.15
12,2024-09-16,Salary,129.62
588,2024-09-13,Groceries,178.74
636,2024-07-25,Investment,1073.43
408,2023-11-12,Shopping,850.07
194,2024-10-29,Loan Payment,652.86
527,2024-03-16,Investment,149.75
871,2024-07-13,Loan Payment,596.47
906,2024-11-08,Loan Payment,0.58
128,2023-05-16,Groceries,817.62
332,2024-01-10,Investment,22.36
941,2025-01-17,Investment,762.25
148,2023-05-18,Groceries,38.37
877,2024-05-01,Shopping,652.14
400,2023-08-16,Shopping,433.05
755,2023-04-01,Investment,663.08
912,2024-12-25,Salary,699.63
711,2024-10-18,Investment,1082.37
401,2023-10-14,Salary,474.98
773,2024-12-30,Loan Payment,456.34
795,2024-11-26,Investment,95.55
206,2024-05-19,Shopping,776.77
865,2023-09-18,Loan Payment,225.12
83,2024-07-07,Loan Payment,906.63
251,2024-08-06,Investment,682.52
326,2024-03-30,Salary,1329.79
607,2025-03-16,Groceries,31.55
601,2023-07-23,Salary,951.03
724,2024-03-28,Investment,490.55
925,2024-04-08,Groceries,582.42
528,2024-12-27,Shopping,472.89
895,2023-09-24,Groceries,793.2
437,2024-07-10,Salary,1002.92
326,2023-04-30,Loan Payment,216.35
112,2024-05-15,Shopping,904.44
709,2024-03-17,Shopping,270.52
364,2023-10-07,Investment,26.69
679,2023-12-16,Investment,641.34
243,2025-01-06,Shopping,723.51
653,2024-08-22,Loan Payment,931.83
188,2024-04-16,Salary,362.14
949,2023-11-05,Loan Payment,21.43
854,2023-09-12,Shopping,411.19
810,2024-03-10,Groceries,427.95
752,2024-02-03,Shopping,1266.41
924,2023-12-15,Salary,307.34
20,2024-07-22,Shopping,274.79
779,2025-01-03,Groceries,486.57
42,2024-12-18,Shopping,512.18
275,2023-07-18,Investment,726.95
742,2023-04-06,Salary,750.9
232,2023-11-04,Shopping,571.65
52,2023-05-18,Shopping,803.21
652,2023-12-28,Shopping,724.71
563,2023-06-24,Loan Payment,1018.19
720,2024-04-28,Salary,566.26
269,2023-04-15,Salary,345.51
116,2024-01-10,Investment,761.32
75,2024-11-12,Salary,142.94
348,2023-06-04,Salary,826.21
215,2025-01-19,Loan Payment,565.41
367,2023-05-20,Salary,206.36
538,2023-07-27,Salary,445.58
164,2024-07-14,Shopping,351.69
798,2023-12-08,Investment,154.0
79,2023-07-10,Salary,6.2
947,2025-02-11,Groceries,954.0
246,2023-10-18,Investment,944.45
506,2023-07-09,Salary,551.76
722,2024-04-17,Salary,653.26
169,2023-07-19,Groceries,1233.37
381,2024-04-25,Groceries,337.32
742,2024-10-22,Shopping,249.99
949,2024-05-13,Investment,391.52
930,2024-10-21,Investment,247.88
730,2024-10-18,Investment,702.93
513,2024-12-16,Groceries,563.77
765,2024-08-22,Shopping,808.1
292,2024-07-02,Groceries,1096.63
544,2023-09-28,Salary,600.24
658,2023-09-13,Investment,268.78
559,2023-04-09,Shopping,367.91
187,2023-06-15,Investment,646.55
942,2023-09-21,Groceries,1208.48
944,2025-02-02,Salary,1181.43
222,2023-12-06,Investment,378.68
530,2024-08-14,Groceries,558.64
257,2025-02-06,Groceries,470.35
858,2024-08-27,Groceries,667.87
712,2024-12-21,Shopping,255.94
101,2024-09-24,Groceries,704.62
761,2023-03-27,Groceries,537.85
33,2024-10-08,Groceries,297.52
271,2025-02-16,Groceries,379.08
692,2023-06-10,Loan Payment,446.77
422,2023-08-30,Loan Payment,93.34
186,2023-12-21,Salary,372.26
523,2024-05-29,Investment,641.33
891,2024-12-08,Groceries,507.84
984,2025-01-26,Groceries,20.48
172,2023-09-03,Groceries,639.96
567,2025-03-15,Shopping,903.87
144,2024-09-09,Investment,429.97
433,2023-04-10,Salary,487.76
954,2023-05-17,Loan Payment,630.24
197,2024-02-12,Groceries,628.14
53,2023-11-30,Shopping,708.62
783,2023-03-25,Loan Payment,157.7
123,2023-11-23,Shopping,344.85
975,2024-02-29,Shopping,335.55
518,2023-11-03,Investment,585.86
147,2024-03-06,Shopping,249.55
904,2024-08-19,Groceries,505.65
597,2023-09-09,Shopping,148.5
557,2023-08-13,Loan Payment,345.5
327,2024-09-14,Groceries,403.29
425,2023-10-10,Salary,376.45
491,2024-10-02,Salary,539.58
985,2024-04-17,Groceries,472.58
666,2023-10-22,Salary,475.74
420,2024-08-28,Salary,547.66
965,2024-02-02,Shopping,389.82
25,2024-06-07,Groceries,791.06
319,2023-07-10,Salary,138.52
92,2024-09-15,Shopping,844.26
137,2023-05-17,Investment,281.44
732,2023-06-07,Salary,658.7
487,2023-11-07,Loan Payment,517.09
269,2024-04-02,Loan Payment,686.22
813,2023-03-23,Groceries,812.06
175,2024-01-25,Investment,445.05
761,2024-06-20,Shopping,393.0
147,2024-06-18,Shopping,858.23
14,2024-08-24,Loan Payment,165.14
428,2025-02-26,Salary,909.75
726,2023-11-07,Shopping,723.47
850,2023-10-02,Investment,333.78
699,2024-07-01,Salary,979.75
915,2024-01-02,Investment,601.92
177,2024-03-27,Loan Payment,584.6
410,2024-01-08,Shopping,424.94
592,2024-08-10,Loan Payment,179.01
638,2024-09-21,Investment,210.3
558,2025-03-15,Investment,988.75
439,2025-02-13,Loan Payment,187.86
489,2025-03-02,Salary,444.73
646,2024-04-15,Shopping,440.62
919,2024-08-25,Loan Payment,1120.37
491,2024-01-17,Groceries,145.91
313,2024-02-15,Shopping,579.06
813,2023-12-16,Investment,703.68
680,2024-03-17,Shopping,256.28
682,2024-05-01,Groceries,514.03
347,2024-09-13,Salary,467.85
245,2023-12-23,Loan Payment,110.24
296,2023-03-26,Loan Payment,387.78
589,2023-04-22,Salary,380.56
629,2024-08-21,Investment,316.42
401,2024-08-27,Investment,54.22
498,2023-07-23,Salary,535.87
134,2024-07-17,Shopping,798.18
941,2025-02-24,Shopping,227.54
654,2023-06-27,Groceries,232.63
146,2024-02-23,Salary,481.45
884,2024-05-23,Loan Payment,391.17
1,2023-06-01,Investment,334.53
153,2024-04-12,Loan Payment,183.22
482,2025-02-23,Salary,495.41
912,2025-03-13,Groceries,853.06
25,2024-10-17,Shopping,645.36
841,2024-03-04,Salary,216.74
848,2025-03-01,Investment,354.24
872,2024-11-22,Groceries,656.77
646,2024-08-05,Loan Payment,50.44
634,2023-05-09,Salary,521.38
756,2024-07-04,Groceries,111.95
956,2024-05-22,Investment,869.53
516,2023-09-18,Salary,7.86
621,2024-09-19,Salary,191.1
143,2023-05-27,Shopping,227.45
889,2024-06-12,Investment,796.83
79,2024-12-17,Groceries,877.99
623,2024-12-21,Groceries,249.91
617,2023-11-12,Shopping,702.33
496,2023-10-19,Salary,382.16
549,2023-11-14,Groceries,91.13
508,2024-05-15,Salary,266.04
824,2024-11-28,Investment,824.6
791,2024-11-26,Loan Payment,446.27
179,2025-03-10,Loan Payment,618.75
735,2023-08-06,Salary,366.53
183,2023-05-07,Salary,228.99
493,2023-10-11,Groceries,477.51
732,2023-11-30,Groceries,645.66
375,2023-09-29,Shopping,293.83
886,2024-06-24,Investment,33.83
192,2025-03-03,Loan Payment,349.59
467,2023-09-15,Salary,74.58
324,2024-07-24,Salary,835.65
270,2023-10-19,Salary,276.9
467,2024-01-19,Investment,47.54
985,2025-02-27,Shopping,152.91
584,2024-08-25,Groceries,797.07
554,2023-06-23,Salary,323.91
703,2025-03-18,Loan Payment,330.51
